id,name,salary,bonus,hiring_year,dismissing_year
49,Kenneth-Ho,13166.73,2267.03,1999,2016
50,Kevin-Wolfe,11276.76,2329.02,2008,2021
51,Betty-Lindsey,31220.85,531.37,1999,2005
52,Tina-Watson,4439.7,3388.56,2014,2014
53,Mariah-Hale,16535.3,3872.74,1999,2018
54,Renee-Weaver,29875.93,4490.1,1999,2015
55,Cassidy-Gonzalez,35981.86,356.9,1991,2006
56,Mary-Rice,11109.6,4247.46,2010,2018
57,Bethany-Diaz,31158.43,3172.97,1999,2012
58,Wesley-Fox,17103.28,2742.48,1999,2002
59,Eric-Bennett,24524.89,4976.92,1999,2000
60,Scott-Williams,2343.72,894.45,2018,2020
61,Alyssa-Pena,35664.59,6188.15,1995,2023
62,Krista-Watson,28219.9,2234.13,1999,2019
63,Rodney-Smith,11703.06,3812.24,2008,2009
64,Jessica-Fox,3986.87,1584.7,2014,2022
65,Jack-Flores,36265.57,1822.66,1990,1990
66,Gregg-Watts,35152.75,2309.63,1998,2022
67,Gary-Gordon,37119.59,6870.35,1990,1998
68,Victor-Bates,13025.97,5824.32,1999,2019
69,Janice-Gallagher,20904.04,3505.76,1999,2023
70,Corey-Marsh,22513.45,2801.25,1999,2020
71,Martha-Rose,15080.71,5985.51,1999,2022
72,Donna-Gallagher,8478.08,4954.48,2013,2019
73,Brian-Soto,8480.08,2059.22,2013,2019
74,Mike-Wong,11798.46,5516.72,2003,2011
75,Ricky-Rose,20116.33,552.89,1999,2015
76,Bruce-Harrison,6806.47,5618.5,2013,2022
77,Bobby-Riley,35566.97,6130.79,1995,2011
78,Erik-Fox,14204.14,2893.17,1999,2023
79,Wendy-Mitchell,30018.38,1118.34,1999,2004
80,Daniel-Sexton,13718.87,3744.64,1999,2008
81,Heather-White,16296.85,5263.99,1999,2006
82,James-Riley,33077.26,6256.46,1999,2000
83,Annette-Fox,3670.68,125.12,2014,2015
84,Anita-Miller,9095.04,2820.15,2013,2022
85,Shelby-Munoz,23291.71,2223.95,1999,2016
86,Kathryn-Miller,22805.27,894.49,1999,2013
87,Troy-Woods,26526.1,3332.63,1999,2004
88,Lauren-Coffey,22644.84,3664.45,1999,2008
89,Margaret-Pena,12510.78,4940.98,1999,2003
90,Katherine-Robinson,17943.06,1672.77,1999,2000
91,Savannah-Rodriguez,33068.54,867.39,1999,2004
92,April-Shaw,6679.01,3551.82,2013,2016
93,Michele-Rhodes,24740.79,181.83,1999,2006
94,Julia-Green,12527.27,1774.88,1999,2009
95,Charles-Barker,13944.63,5929.95,1999,2020
96,Mariah-Hicks,26149.66,5373.65,1999,2008
97,Arthur-Wilkinson,25791.45,6017.85,1999,2023
98,Amanda-Smith,12156.17,2477.6,2000,2001
99,Francis-Kaiser,35555.56,4119.7,1996,2012
100,Jared-Shaw,3973.41,3641.72,2014,2021
101,Ricky-Howell,16526.28,3321.58,1999,2008
102,Adrian-Newman,30634.01,104.85,1999,2015
103,Dylan-Diaz,36241.0,5388.39,1991,1991
104,Evan-Benson,7287.32,6657.38,2013,2018
105,Margaret-Walker,2878.26,787.76,2015,2022
106,Melanie-Smith,17005.31,5411.6,1999,2020
107,Darius-Hunt,22852.45,5945.45,1999,2010
108,Scott-Gordon,33047.82,932.52,1999,2005
109,Angie-Baker,35797.63,2218.8,1991,1995
110,Donna-Barrera,7355.86,3821.19,2013,2021
111,Joanna-Hayes,14840.68,1119.4,1999,2021
112,Rebecca-Christensen,32038.21,5848.34,1999,2006
113,Keith-Newman,11869.84,562.5,2000,2021
114,Brittany-Dixon,26303.51,176.85,1999,2013
115,Rodney-Williams,16837.82,3323.01,1999,2021
116,Maxwell-Thomas,26417.93,6953.22,1999,2004
117,Anne-Watson,6167.29,5629.42,2013,2021
118,Beverly-Parks,15239.9,4374.27,1999,2016
119,Alison-Oneill,22288.56,6782.28,1999,2016
120,Breanna-Jones,22150.81,3600.22,1999,2017
121,Alyssa-Pena,7488.58,1882.59,2013,2019
122,Cory-Woods,19331.2,1983.17,1999,2010
123,Kristen-Shaw,5468.73,2831.06,2013,2015
124,Jon-Harrison,35501.52,5717.72,1998,2002
125,Yvette-Thomas,11824.9,187.52,2001,2023
126,Rhonda-Hayes,29464.08,4745.57,1999,2019
127,Antonio-Watson,2967.32,769.52,2015,2016
128,Cassidy-Morris,14899.7,5150.67,1999,2014
129,Pamela-Smith,26170.47,3835.64,1999,2010
130,Catherine-Johnson,34936.9,4338.04,1998,2021
131,Zachary-Baker,31473.13,4580.44,1999,2000
132,Savannah-Young,17925.31,6252.88,1999,2015
133,Katie-Sexton,10485.99,3131.38,2013,2016
134,Calvin-Gray,24967.75,3630.41,1999,2004
135,Todd-Fox,5463.77,4977.26,2014,2017
136,Alison-Pena,21760.55,2856.63,1999,2020
137,Jill-Christian,9217.16,6147.95,2013,2019
138,Melissa-Arias,17751.23,3831.01,1999,2009
139,Tracy-Arias,19756.97,4959.51,1999,2003
140,Albert-Gallagher,34469.64,4155.0,1998,2020
141,Brandy-Parks,8541.81,5799.5,2013,2019
142,Morgan-Gibson,10068.96,3877.88,2013,2018
143,Courtney-Hayes,25150.78,6078.35,1999,2010
144,Latoya-Munoz,25226.68,888.6,1999,2020
145,Darius-Arias,4907.63,4512.62,2014,2014
146,Shelby-White,11088.87,6583.41,2010,2020
147,Allison-White,27479.81,3414.32,1999,2007
148,Jodi-Morrow,22243.91,807.32,1999,2000
149,Aaron-Malone,33204.65,3710.59,1999,2022
150,Ashley-Rhodes,11193.43,484.13,2008,2021
151,Nathaniel-White,31850.56,1366.1,1999,2023
152,Leah-Miller,24150.75,5020.1,1999,2004
153,Bryan-Brown,21017.91,4751.52,1999,2023
154,Johnny-Taylor,15690.02,6821.01,1999,2016
155,Jonathan-Lindsey,17906.67,4917.82,1999,2007
156,Heather-Gray,29122.19,4116.1,1999,2023
157,Jennifer-Rose,7534.12,2111.86,2013,2014
158,Audrey-Anderson,12834.25,2194.5,1999,2022
159,Rodney-Phillips,35152.23,6907.62,1998,2009
160,Timothy-Brown,22274.06,4017.44,1999,2008
161,Christine-Thomas,22523.75,4224.79,1999,2023
162,Annette-Fernandez,25613.0,4357.29,1999,2001
163,Charles-Williams,6659.57,2414.29,2013,2020
164,Donna-Munoz,33619.79,2138.23,1998,2009
165,Dustin-Smith,14919.27,5556.36,1999,2018
166,Melanie-Sexton,11849.83,330.25,2000,2005
167,Wendy-Weaver,22539.36,3366.48,1999,2001
168,Samantha-Lindsey,17987.18,802.85,1999,2019
169,Sherry-Walker,23197.27,547.75,1999,2008
170,Brianna-King,6981.92,3512.55,2013,2017
171,Cheryl-Miller,22361.97,4876.63,1999,2015
172,Michelle-Mitchell,27337.11,3205.94,1999,2000
173,Tyler-Jones,34708.97,4461.55,1998,2004
174,Randy-Nelson,5971.65,1004.0,2013,2016
175,Kristen-Patel,16787.38,5869.27,1999,2000
176,Yvette-Stevenson,37329.87,1675.23,1990,1999
177,Jill-Alvarez,9559.67,5985.91,2013,2015
178,Charles-Thomas,26405.15,6156.83,1999,2004
179,Alexandra-Wilkinson,14906.76,496.46,1999,2001
180,Samantha-Newman,12092.45,5077.14,2000,2015
181,Dana-Lindsey,33537.47,4737.31,1999,2001
182,Sean-Harrison,11978.99,2777.07,2000,2013
183,Loretta-Guerrero,36479.96,6170.59,1990,1994
184,Donna-Klein,8919.33,4910.02,2013,2023
185,Alexandra-Wilkinson,5355.27,824.28,2014,2015
186,Randall-Soto,33569.88,3724.81,1998,2019
187,Julie-Robinson,35678.58,3836.72,1992,2001
188,Cassidy-Davis,35521.1,2744.83,1996,1996
189,Tiffany-Baker,33449.4,5086.84,1999,2014
190,Anna-Riley,15780.18,212.71,1999,2002
191,Edwin-Weaver,21361.32,6028.99,1999,2019
192,Maxwell-Herrera,10295.38,6839.6,2013,2023
193,April-Alvarez,14618.21,6707.16,1999,2002
194,Betty-Gray,9704.61,1150.49,2013,2015
195,Samantha-Perez,19347.61,6510.7,1999,2015
196,Sheryl-Miller,16255.67,6269.74,1999,2020
197,Yvette-King,23993.26,1165.51,1999,2015
198,Dawn-Murphy,2207.44,1772.98,2022,2023
199,Aaron-Brown,30374.2,3952.6,1999,2002
200,Margaret-Kaiser,15029.68,103.33,1999,2021
201,Christian-Pena,12786.33,6381.57,1999,2008
202,Jonathan-Newman,22816.12,1331.4,1999,2013
203,Samantha-Morris,16779.27,1232.52,1999,2013
204,Shelley-Green,2395.01,2136.55,2015,2021
205,Kenneth-Watts,29340.44,6263.33,1999,2005
206,Seth-Mathis,20710.92,3063.63,1999,2023
207,Tyler-Odom,8852.1,5811.97,2013,2019
208,Kathleen-Weaver,8547.49,5430.78,2013,2014
209,Cody-Gordon,19030.93,5697.33,1999,2000
210,Laurie-Watts,25344.53,6897.86,1999,2011
211,Ronald-Mcdonald,28330.45,4053.17,1999,2003
212,Megan-Oneill,36247.03,3341.07,1990,2022
213,Adrian-Stevenson,24108.94,6736.02,1999,2016
214,Michele-Cook,6759.08,6482.5,2013,2013
215,Julie-Hester,16081.84,797.96,1999,2021
216,Austin-Brown,36317.24,3060.19,1990,2014
217,Anne-Benson,15257.76,3618.19,1999,2015
218,Dawn-Shaw,34748.76,3612.88,1998,2010
219,Patty-Ho,34782.56,2994.07,1998,2011
220,Bradley-Costa,22538.49,2737.56,1999,2010
221,Nicholas-Pena,24394.67,1225.62,1999,2003
222,Dylan-Anderson,13159.36,5491.05,1999,2011
223,Johnny-Flores,22319.13,5407.29,1999,2006
224,Sierra-Harrison,8226.86,194.15,2013,2018
225,Shannon-Weber,8267.33,4668.18,2013,2020
226,Walter-Klein,23684.1,5595.35,1999,2022
227,Nathaniel-Baker,26440.48,3715.39,1999,2009
228,Rick-Allen,2499.48,563.13,2015,2022
229,Olivia-Thomas,27464.08,1927.47,1999,2022
230,Danielle-Murphy,37627.47,5800.02,1990,1990
231,Patty-Lindsey,15154.01,370.04,1999,2017
232,Heather-Johnson,32128.26,6856.56,1999,2004
233,Courtney-Malone,27790.29,4787.01,1999,2008
234,Martha-Ho,15183.65,100.08,1999,2020
235,Breanna-Odom,35491.34,6148.65,1998,2005
236,George-Wong,26746.47,289.15,1999,2019
237,Brenda-Taylor,29605.24,3991.23,1999,2013
238,Michele-Hicks,34383.21,789.26,1998,2013
239,Jacob-Mcdonald,26307.3,415.17,1999,1999
240,Melissa-Howell,14144.18,5105.97,1999,2003
241,Bonnie-Hill,11651.89,6889.01,2008,2021
242,Cheryl-Lindsey,32334.22,6432.06,1999,2000
243,Joyce-Bennett,19395.22,2718.85,1999,2020
244,Dean-Weber,30642.48,4796.76,1999,2009
245,Jose-Weber,19941.59,264.7,1999,2021
246,Janice-Parks,24755.07,2171.33,1999,2011
247,Susan-Baker,8988.45,3730.53,2013,2019
248,Julia-Harrison,19217.51,3353.82,1999,2003
249,Bruce-Johnson,35511.44,2466.25,1997,1997
250,Audrey-Weaver,4592.04,2296.14,2014,2023
251,Wendy-Weber,11599.5,2103.22,2008,2019
252,Kelly-Walker,29545.47,3591.2,1999,2003
253,Glenda-Fernandez,25435.8,1848.69,1999,2010
254,Gene-Wong,11007.3,5517.03,2012,2012
255,Courtney-Weaver,22410.71,3598.18,1999,1999
256,Brenda-Cook,27839.99,662.66,1999,2015
257,Christina-Harrison,3379.48,2135.97,2015,2017
258,Madison-Gibson,28628.39,2017.99,1999,2014
259,Scott-Parks,22507.23,1399.12,1999,2006
260,Ann-Guerrero,21523.27,6321.69,1999,2017
261,Anthony-Bates,1634.26,1210.52,2023,2023
262,Eddie-Anderson,24571.51,5788.21,1999,2006
263,Veronica-Serrano,16454.38,3212.89,1999,2007
264,Kristina-Phillips,8931.6,5516.21,2013,2018
265,Sarah-Rose,3557.46,1391.09,2014,2020
266,Susan-Nelson,22028.92,3780.75,1999,2012
267,Stephanie-Fox,19020.73,5008.15,1999,2003
268,Randy-Woods,3655.8,1595.79,2014,2015
269,Michael-Young,30249.8,2693.45,1999,2000
270,Yvette-Trevino,15140.87,5249.85,1999,2000
271,Gregg-Trevino,9032.08,6433.17,2013,2017
272,Alexandra-Gray,16182.55,187.31,1999,2018
273,Randy-Rhodes,15715.43,6859.26,1999,2020
274,Adrian-Bennett,33848.41,3312.27,1998,2020
275,Jeffrey-Serrano,18398.29,329.56,1999,2018
276,Mike-Patel,32394.68,3930.29,1999,2001
277,Heather-Taylor,13663.22,5325.44,1999,2018
278,Kelly-Benson,30587.66,4254.02,1999,2006
279,Diane-Watson,12500.48,4707.15,1999,2001
280,Allison-Phillips,5576.29,4978.04,2013,2014
281,Martha-Klein,3980.04,3397.51,2014,2023
282,Curtis-Hester,31901.24,2376.64,1999,2021
283,Jon-Alvarez,8202.95,5538.96,2013,2015
284,Jacob-Elliott,18238.09,5115.8,1999,2019
285,Rhonda-Gallagher,16165.32,6417.58,1999,2022
286,Sonya-Anderson,15180.94,1489.53,1999,2016
287,Troy-Williams,10674.23,3538.29,2013,2017
288,Barbara-Lindsey,32686.87,664.55,1999,2003
289,Gabrielle-White,19288.24,4424.1,1999,2003
290,Sheryl-Wilkinson,27488.18,3386.01,1999,2003
291,Cassandra-Stevenson,31007.43,1998.1,1999,2013
292,Deborah-Mcdonald,26843.48,4917.65,1999,2020
293,Patty-Elliott,37544.77,2303.63,1990,1999
294,Derek-Rhodes,9952.35,1741.42,2013,2018
295,Denise-Walton,19520.39,632.76,1999,2011
296,Renee-Ho,24275.8,5725.85,1999,2022
297,Kimberly-White,17722.94,518.19,1999,2001
298,Mitchell-Christensen,32304.99,4446.13,1999,2003
299,Veronica-Baker,19752.93,2335.61,1999,2007
300,Shelley-Trevino,22060.27,3166.32,1999,2001
301,Wendy-Martinez,8701.56,405.0,2013,2022
302,Betty-Alvarez,31903.0,4049.68,1999,2020
303,Catherine-Barrera,6990.97,4541.66,2013,2015
304,Dawn-Wolfe,20867.02,1043.28,1999,2009
305,Alyssa-Smith,29720.89,3977.4,1999,2015
306,Rodney-Woods,34010.37,5705.37,1998,2006
307,Natalie-Oneill,13172.9,1104.22,1999,2017
308,Annette-Sexton,25777.93,3116.31,1999,2019
309,Marc-Fernandez,6279.88,4603.45,2013,2018
310,Curtis-Riley,20515.29,1561.63,1999,2012
311,Jack-Watson,28858.84,3346.88,1999,1999
312,Ann-Kaiser,27103.06,2285.0,1999,2003
313,Michele-Hale,20757.83,1487.55,1999,2017
314,Lisa-Cook,34197.37,3669.85,1998,1998
315,Sherry-Rodriguez,10013.45,6912.15,2013,2020
316,Tyler-Flores,21623.82,5927.76,1999,2005
317,Shelley-Jones,16841.94,1462.32,1999,2020
318,Laurie-Shaw,27074.82,6888.19,1999,2007
319,Cesar-Barrera,18243.03,2756.7,1999,2002
320,Scott-Cook,20854.63,2981.51,1999,2011
321,Krista-Ho,24766.46,3744.13,1999,2004
322,Elizabeth-Lindsey,5079.3,601.21,2014,2016
323,Katie-Walker,17968.1,3753.0,1999,2010
324,Parker-White,16898.29,935.03,1999,2011
325,Joanna-Rice,24773.75,2683.04,1999,2014
326,Christopher-Marsh,32167.39,4758.12,1999,2023
327,Rodney-Martinez,7495.99,4159.45,2013,2013
328,Alexandra-Arias,7573.38,5584.39,2013,2020
329,Loretta-Mathis,21092.7,628.34,1999,2015
330,Joseph-Elliott,22678.66,4505.35,1999,2021
331,Debra-Miller,11388.02,3647.84,2008,2008
332,Alicia-Costa,27407.07,3072.13,1999,2005
333,Michele-Howell,15502.17,1066.03,1999,2007
334,Anita-Arias,30995.11,5536.93,1999,2023
335,Cesar-King,33224.9,5520.58,1999,2001
336,Theresa-Ho,16425.53,6335.43,1999,2020
337,Karen-Williams,21798.59,2772.71,1999,2002
338,Alice-Wong,24557.09,3595.67,1999,2004
339,Elizabeth-Diaz,19374.7,5378.69,1999,2018
340,Grant-Anderson,30557.28,2569.36,1999,2002
341,Lorraine-Gray,13275.62,6145.59,1999,2003
342,William-Bennett,9028.16,1694.08,2013,2021
343,Adam-Bates,23766.34,6852.38,1999,2021
344,Tracy-Soto,11159.42,3992.81,2008,2020
345,Debra-Jones,34091.55,3878.86,1998,2017
346,Taylor-Parks,31358.59,3077.02,1999,2009
347,Ana-Hester,33508.7,4764.67,1999,2003
348,Eric-Marsh,8008.38,297.31,2013,2013
349,Angela-Woods,30639.94,3063.81,1999,2000
350,Kimberly-Diaz,9917.75,5730.53,2013,2020
351,Mark-Peterson,10074.91,5695.06,2013,2014
352,Maria-Stevenson,34065.19,2317.3,1998,2013
353,Madison-Gonzalez,12409.96,5798.96,1999,2004
354,Kyle-Klein,37338.89,3688.99,1990,2023
355,Jessica-Oneill,35764.85,4168.91,1991,2001
356,Natalie-Cook,17889.83,6430.89,1999,2021
357,Johnny-Perez,2281.68,2109.01,2021,2023
358,Nichole-Lindsey,13986.43,755.64,1999,2019
359,Jason-Perez,7157.26,2142.65,2013,2022
360,Jessica-Costa,35676.0,4611.07,1994,2020
361,Yvette-Coffey,34520.0,4194.68,1998,2015
362,Latoya-Shaw,5678.13,4531.52,2013,2022
363,Ann-Woods,28620.41,2929.49,1999,1999
364,Leah-Cook,23783.98,1560.33,1999,1999
365,Andre-Stevenson,18863.61,1955.71,1999,2023
366,April-Costa,20189.52,6376.49,1999,2016
367,Curtis-Hill,9349.86,2056.44,2013,2022
368,Kaitlyn-Harrison,4331.51,2360.35,2014,2020
369,Jesse-Martinez,35809.77,2641.22,1991,1991
370,Cindy-Walton,11133.2,4152.58,2009,2017
371,Dylan-Ho,25481.88,4845.81,1999,2023
372,Angela-Guerrero,25586.77,5127.36,1999,2019
373,Gene-Gibson,19763.46,5476.71,1999,2010
374,Ronald-Gibson,4821.84,442.99,2014,2017
375,Nicholas-Pena,6012.3,2463.73,2013,2015
376,Kelly-Patel,17090.12,3966.98,1999,2022
377,Breanna-Fox,7180.17,4201.74,2013,2015
378,Kaitlyn-Serrano,7571.84,1450.62,2013,2023
379,Jesse-Hester,18963.85,1569.09,1999,2018
380,Margaret-Hill,32127.79,2246.3,1999,1999
381,Erik-Wong,22333.52,3150.83,1999,2014
382,Antonio-Watts,25580.49,636.13,1999,2003
383,Jill-Hale,6892.35,3446.72,2013,2016
384,Wesley-Flores,32379.68,607.6,1999,2003
385,Aaron-Pena,26453.08,492.86,1999,2002
386,Ricky-Wong,5298.95,4814.1,2014,2023
387,Madison-Odom,21909.83,2929.16,1999,2016
388,Alicia-Newman,12323.07,1461.31,1999,2018
389,Angela-Hill,7448.36,1351.0,2013,2015
390,Parker-Christensen,22565.36,3961.4,1999,2000
391,Alicia-Hill,31991.5,5417.05,1999,2006
392,Ryan-Cook,30402.85,1971.21,1999,2000
393,Amber-Watson,24006.1,4482.09,1999,2006
394,Walter-Taylor,10829.26,3192.96,2013,2014
395,Tina-Alvarez,20191.73,6040.58,1999,2001
396,Yvette-Flores,18460.49,3779.26,1999,2017
397,Paul-Barker,29321.61,1286.83,1999,2023
398,Kimberly-Davis,27217.18,5905.66,1999,2017
399,Shelley-Smith,13195.41,121.52,1999,2013
400,Bradley-Cook,36365.39,1303.48,1990,2017
401,Douglas-Miller,5488.17,4193.21,2013,2022
402,Bethany-Benson,4438.04,1247.79,2014,2021
403,Shelby-Wolfe,35615.81,1488.49,1995,2012
404,Sabrina-Watson,6953.46,5767.45,2013,2023
405,Michelle-Fox,31919.35,6442.56,1999,2019
406,Angela-Pena,12660.72,693.8,1999,2008
407,Victoria-Green,8651.7,2409.71,2013,2023
408,Kaitlyn-Riley,13631.17,4825.94,1999,2019
409,Caroline-Riley,7671.12,3500.49,2013,2015
410,Pamela-Walker,33886.82,3280.01,1998,1999
411,Douglas-Riley,19152.75,4857.42,1999,2023
412,Maxwell-King,25265.48,2205.16,1999,2005
413,Taylor-Elliott,23855.34,6475.12,1999,1999
414,Courtney-Mitchell,36148.95,6095.66,1991,2016
415,Juan-Klein,17515.35,6795.95,1999,2004
416,Sheila-Morrow,11935.79,3625.81,2000,2004
417,Austin-Smith,7689.03,742.8,2013,2016
418,Antonio-Cook,7050.26,4253.59,2013,2020
419,Kristen-Murphy,15283.3,6958.32,1999,2016
420,Alison-Coffey,11831.37,345.71,2000,2003
421,Madison-Williams,17195.34,5482.27,1999,2005
422,Gene-Gallagher,25330.02,2008.37,1999,2020
423,Darius-Miller,7009.8,6622.38,2013,2020
424,Dustin-Gallagher,29034.91,6684.03,1999,2007
425,Vanessa-Alvarez,33068.42,5243.9,1999,2010
426,Michelle-Green,20977.19,4717.24,1999,2008
427,Catherine-Watson,9822.39,5911.75,2013,2016
428,Mike-Mcdonald,34568.23,3512.15,1998,2019
429,Maria-Rice,11187.14,5350.11,2008,2017
430,Veronica-Murphy,24117.68,4250.96,1999,2014
431,Dana-Harrison,8966.97,6301.17,2013,2014
432,Derek-Jones,29629.23,3597.31,1999,2007
433,Kenneth-Parks,11680.49,2899.65,2008,2010
434,Timothy-Serrano,35607.56,1721.03,1995,2018
435,Anne-Patel,8000.42,4392.79,2013,2019
436,Brandon-Rose,9338.89,1001.26,2013,2021
437,Jamie-Perez,21151.38,5383.37,1999,2000
438,Kristy-Mitchell,26933.18,5365.36,1999,2008
439,Derek-Walker,22572.64,3126.52,1999,2013
440,Seth-Taylor,17616.07,5338.72,1999,2019
441,Jessica-White,9984.51,4880.49,2013,2014
442,Katie-Hayes,2100.1,1276.62,2022,2023
443,Meredith-Gray,30594.86,1450.68,1999,2017
444,Shelby-Herrera,15135.38,6102.98,1999,2004
445,Jason-Wolfe,25313.59,220.23,1999,2019
446,Breanna-Rose,19910.03,2808.15,1999,2014
447,Wanda-Barker,16471.0,3048.58,1999,2002
448,Kristine-Martinez,8048.32,5305.31,2013,2023
449,Ann-Rice,11141.88,3303.45,2009,2010
450,Shannon-Christensen,11786.61,6910.13,2003,2012
451,Amanda-Christian,3689.28,3393.48,2014,2020
452,Dylan-Klein,34658.11,6778.38,1998,2014
453,Sabrina-Klein,9720.08,4668.1,2013,2016
454,Alyssa-Sexton,16791.68,1085.69,1999,2010
455,Jared-Woods,20057.64,6679.96,1999,2007
456,Tasha-Hunt,16549.82,2924.35,1999,2008
457,Gina-Phillips,3923.17,2207.4,2014,2018
458,Kathleen-Harrison,11190.11,2698.17,2008,2015
459,Jamie-Costa,23401.09,1965.23,1999,1999
460,Meredith-Williams,36077.25,4470.31,1991,1998
461,Steven-Lindsey,33059.67,4413.16,1999,2011
462,Paul-Johnson,4536.71,546.16,2014,2016
463,Veronica-Fernandez,9734.89,3809.06,2013,2019
464,Timothy-Hunt,28856.77,1745.92,1999,2017
465,Juan-Newman,24509.88,1353.49,1999,2003
466,Rebecca-Baker,29209.95,6012.12,1999,2012
467,Matthew-Taylor,18919.19,462.21,1999,2016
468,Bethany-Gray,30542.26,4607.07,1999,2015
469,Audrey-Nelson,6129.45,1020.86,2013,2016
470,Allison-Munoz,13736.09,6143.48,1999,2014
471,Timothy-Ho,37329.55,963.6,1990,2015
472,Joanna-Bennett,27630.08,3312.57,1999,2009
473,Martha-Christensen,24525.93,692.12,1999,1999
474,Holly-Costa,20380.99,5673.44,1999,2012
475,Lauren-Wolfe,12170.82,3153.54,2000,2023
476,Gregory-Kaiser,31850.77,1284.48,1999,2012
477,Tina-Christian,16527.42,5010.66,1999,2016
478,Ronald-Herrera,20698.19,1311.68,1999,2002
479,Dustin-White,22152.47,4791.15,1999,2010
480,Barbara-Odom,28987.01,3813.48,1999,2008
481,Holly-Johnson,22721.94,3866.76,1999,2015
482,Madison-Christian,7426.56,4333.11,2013,2014
483,Brandon-Rose,6860.83,2459.85,2013,2023
484,Taylor-Barrera,17214.32,5257.88,1999,2009
485,Brandy-Walton,18314.08,4392.12,1999,2018
486,Michelle-Benson,6006.41,2209.94,2013,2015
487,Audrey-Mitchell,34808.57,2267.79,1998,2006
488,Kathryn-Walker,16244.88,4190.79,1999,2005
489,Deanna-White,21447.37,3110.5,1999,2023
490,Shelby-Green,30655.15,6187.46,1999,2012
491,Tasha-Miller,33545.83,1339.61,1999,2015
492,Bonnie-Bennett,13094.29,1702.76,1999,2012
493,Patty-Benson,27585.3,4179.25,1999,2010
494,Savannah-Morris,10045.21,2074.53,2013,2017
495,Brandi-Banks,10122.19,1727.89,2013,2020
496,Bonnie-Nelson,36078.52,2288.57,1991,2014
497,Cesar-Gray,29608.56,2243.91,1999,2018
498,Cassidy-Rose,19369.19,4360.45,1999,2023
499,Cassidy-Gallagher,33790.8,5293.02,1998,2010
500,Donna-Robinson,37079.14,5626.02,1990,2014
501,Wesley-Smith,5189.67,325.88,2014,2014
502,Margaret-Miller,24291.64,3004.71,1999,2011
503,Ricky-Ho,24211.08,2888.37,1999,2016
504,Gregory-Davis,29971.08,3502.46,1999,2011
505,Aaron-Weber,23112.05,4188.61,1999,2006
506,Miguel-Gibson,36636.88,4506.96,1990,2007
507,Susan-Woods,4463.82,4226.87,2014,2016
508,Nancy-Hunt,31411.35,1341.39,1999,2018
509,Bobby-Patel,25457.46,1515.04,1999,2019
510,Margaret-Odom,25965.85,5777.34,1999,2016
511,Francis-Herrera,23530.06,5073.15,1999,2023
512,Joseph-Mathis,4751.51,1500.07,2014,2015
