AreaCode,Phone,City,State,Zip,HasChild,Salary,Rate,ChildExemp
712,1000282,FAIRFIELD,IA,52556,Y,724500,8.98,40
307,1006081,MC KINNON,WY,82938,N,3205000,0.0,0
602,1003491,TUCSON,AZ,85743,Y,4262000,5.04,2300
906,1000472,JENISON,MI,49429,N,4666000,3.9,0
971,1004169,CLOVERDALE,OR,97112,N,4871500,9.0,0
703,1001977,HOT SPRINGS,VA,24445,N,3012500,5.75,0
262,1000715,MADISON,WI,53783,N,3271000,6.75,0
918,1000458,CANTON,OK,73724,N,735000,6.25,0
202,1004390,WASHINGTON,DC,20408,Y,1926000,9.0,1370
212,1000734,SYRACUSE,NY,13218,Y,181500,5.01,1000
907,1002112,EAGLE RIVER,AK,99577,N,1265000,0.0,0
347,1001031,WEST SAND LAKE,NY,12196,Y,2566000,6.85,1000
701,1013697,VERONA,ND,58490,N,1394500,5.54,0
207,1013042,GREENVILLE JUNCTION,ME,4442,N,2328000,8.5,0
251,1004704,DEMOPOLIS,AL,36732,Y,3007000,5.0,300
856,1001120,WRIGHTSTOWN,NJ,8562,N,3798000,8.97,0
801,1004805,SALT LAKE CITY,UT,84117,N,2397000,7.0,0
202,1010789,PARCEL RETURN SERVICE,DC,56933,Y,4568000,9.0,1370
802,1000687,BARNET,VT,5821,Y,1214000,9.5,3300
203,1009166,BOTSFORD,CT,6404,Y,2391500,5.0,0
505,1013813,RADIUM SPRINGS,NM,88054,N,344000,5.3,0
989,1001411,DORR,MI,49323,Y,1148500,3.9,3100
205,1003174,GADSDEN,AL,35901,Y,3425000,5.0,300
501,1005710,ROE,AR,72134,Y,1036000,7.0,20
612,1000758,MINNEAPOLIS,MN,55442,Y,3350000,7.85,3300
907,1006995,MOOSE PASS,AK,99631,Y,3641000,0.0,0
404,1001858,STONE MOUNTAIN,GA,30087,N,4455500,6.0,0
402,1004257,LINWOOD,NE,68036,N,3678000,6.84,0
563,1001432,EARLHAM,IA,50072,Y,1366000,8.98,40
908,1001872,ELIZABETHPORT,NJ,7206,Y,3790000,8.97,1500
832,1000743,MANCHACA,TX,78652,N,3084500,0.0,0
701,1015288,HARWOOD,ND,58042,Y,3100500,5.54,3300
920,1002307,OAK CREEK,WI,53154,N,2504000,6.75,0
270,1001703,BLACKFORD,KY,42403,N,251000,6.0,0
270,1004145,SOUTH SHORE,KY,41175,Y,4071000,6.0,20
516,1000121,PORTLANDVILLE,NY,13834,Y,1041000,6.85,1000
901,1002608,HENRY,TN,38231,Y,3643500,0.0,0
202,1004904,WASHINGTON,DC,20062,Y,3548000,9.0,1370
650,1000084,SACRAMENTO,CA,94268,Y,2196000,9.3,272
303,1003297,KARVAL,CO,80823,N,4738500,4.63,0
304,1004977,METZ,WV,26585,Y,3216000,6.5,2000
919,1002227,ASHEBORO,NC,27205,N,3950000,8.25,0
980,1000483,YADKINVILLE,NC,27055,Y,1730500,8.25,3300
830,1000270,MC LEOD,TX,75565,Y,2212000,0.0,0
605,1015664,MILBANK,SD,57252,N,779000,0.0,0
319,1002315,KIRKMAN,IA,51447,N,160500,8.98,0
856,1000129,HALEDON,NJ,7538,Y,1498500,8.97,1500
307,1013659,MEDICINE BOW,WY,82329,Y,2488500,0.0,0
803,1005908,SELLERS,SC,29592,Y,2471000,7.0,3300
603,1009143,TILTON,NH,3276,N,3893500,0.0,0
318,1003326,GROSSE TETE,LA,70740,Y,3164500,6.0,1000
907,1015809,ANCHORAGE,AK,99511,N,568500,0.0,0
551,1000654,WHIPPANY,NJ,7983,Y,3216000,8.97,1500
865,1001396,HUNTLAND,TN,37345,Y,3362500,0.0,0
479,1004696,NORTH LITTLE ROCK,AR,72190,Y,4186500,7.0,20
802,1003664,GRANBY,VT,5840,N,1284000,9.5,0
319,1000266,HOSPERS,IA,51238,N,588500,8.98,0
208,1014510,PLUMMER,ID,83851,Y,3451500,7.8,3300
651,1002598,BIG LAKE,MN,55309,Y,455500,7.85,3300
603,1017412,HEBRON,NH,3241,Y,1493500,0.0,0
319,1000870,COON RAPIDS,IA,50058,Y,285000,8.98,40
202,1000154,WASHINGTON,DC,20418,Y,2981000,9.0,1370
360,1002899,TACOMA,WA,98406,N,4108000,0.0,0
913,1003746,SAWYER,KS,67134,N,996000,6.45,0
775,1004010,WINNEMUCCA,NV,89445,Y,4586000,0.0,0
701,1002884,ELLENDALE,ND,58436,Y,19500,2.1,3300
570,1000387,WELLERSBURG,PA,15564,Y,4296500,3.07,0
414,1000219,STITZER,WI,53825,Y,3650500,6.75,400
202,1006997,WASHINGTON,DC,20268,N,1616000,9.0,0
828,1001402,ASHEBORO,NC,27205,Y,3639000,8.25,3300
309,1001669,CICERO,IL,60804,Y,621500,3.0,2000
701,1012289,CATHAY,ND,58422,Y,121000,3.16,3300
939,1006209,ANGELES,PR,611,Y,2858500,0.0,0
205,1001202,BIRMINGHAM,AL,35299,N,3463500,5.0,0
720,1003852,COALMONT,CO,80430,Y,422500,4.63,0
253,1003040,SPOKANE,WA,99210,N,184000,0.0,0
843,1001977,ALCOLU,SC,29001,Y,2518500,7.0,3300
307,1014905,MOUNTAIN VIEW,WY,82939,Y,2169000,0.0,0
979,1000021,BROWNWOOD,TX,76801,N,4630000,0.0,0
402,1006975,MANLEY,NE,68403,N,2675500,6.84,0
802,1017644,BENSON,VT,5731,Y,2044000,9.5,3300
775,1007902,COYOTE SPRINGS,NV,89037,Y,1857500,0.0,0
813,1001030,LITHIA,FL,33547,N,2560000,0.0,0
435,1000303,MILLVILLE,UT,84326,Y,71000,7.0,2475
386,1000018,MIAMI,FL,33153,Y,2985000,0.0,0
701,1003051,ROCKLAKE,ND,58365,N,1219500,5.54,0
304,1013346,ELIZABETH,WV,26143,N,1885500,6.5,0
939,1008270,JUANA DIAZ,PR,795,N,355500,0.0,0
915,1000122,CORPUS CHRISTI,TX,78472,N,2109500,0.0,0
870,1004125,HINDSVILLE,AR,72738,Y,4837000,7.0,20
585,1000314,WESTBURY,NY,11597,Y,1679000,6.85,1000
231,1000012,FARMINGTON,MI,48331,N,4465500,3.9,0
860,1008503,BRIDGEPORT,CT,6608,N,896000,5.0,0
479,1003385,FOX,AR,72051,Y,4978500,7.0,20
802,1000478,EAST RYEGATE,VT,5042,Y,4133500,9.5,3300
727,1000819,HALLANDALE,FL,33009,N,4663000,0.0,0
209,1000337,SANTA MONICA,CA,90402,Y,1099000,9.3,272
401,1006065,PROVIDENCE,RI,2912,N,3027000,0.0,0
901,1002876,BELFAST,TN,37019,Y,4241500,0.0,0
608,1000082,NASHOTAH,WI,53058,N,2027000,6.75,0
253,1001050,NAPAVINE,WA,98565,N,80500,0.0,0
989,1000917,AKRON,MI,48701,Y,2440000,3.9,3100
972,1000356,ROXTON,TX,75477,N,1502500,0.0,0
502,1002352,DEMA,KY,41859,Y,3131000,6.0,20
605,1008531,HARTFORD,SD,57033,Y,3584500,0.0,0
802,1009513,CRAFTSBURY COMMON,VT,5827,N,2847000,9.5,0
202,1014201,WASHINGTON,DC,20460,N,1139000,9.0,0
228,1001312,WASHINGTON,MS,39190,Y,2781500,5.0,1500
907,1007700,DEERING,AK,99736,Y,938000,0.0,0
401,1013543,WEST WARWICK,RI,2893,N,4868000,0.0,0
504,1002787,HARVEY,LA,70059,N,2809000,6.0,0
701,1007801,ORISKA,ND,58063,N,82500,2.71,0
435,1005629,HANKSVILLE,UT,84734,Y,1995500,7.0,2475
620,1003344,PARK,KS,67751,Y,1261500,6.45,2250
605,1003938,DOLAND,SD,57436,N,3973500,0.0,0
304,1009191,WALLBACK,WV,25285,N,2262000,6.5,0
970,1001513,CEDAREDGE,CO,81413,Y,497000,4.63,0
857,1000687,LYNN,MA,1902,N,2294500,5.3,0
580,1006188,CRAWFORD,OK,73638,Y,2299000,6.25,1000
401,1000350,PORTSMOUTH,RI,2871,Y,354500,0.0,0
228,1002030,FALCON,MS,38628,N,931500,5.0,0
785,1003585,SAINT GEORGE,KS,66535,N,971500,6.45,0
630,1001036,PAW PAW,IL,61353,Y,3054000,3.0,2000
229,1000553,LENOX,GA,31637,N,2950000,6.0,0
612,1002509,MC GRATH,MN,56350,Y,1401500,7.85,3300
484,1001878,SHAWNEE ON DELAWARE,PA,18356,Y,313500,3.07,0
307,1001203,GILLETTE,WY,82718,Y,4055000,0.0,0
603,1017016,BRISTOL,NH,3222,Y,3323000,0.0,0
503,1002822,SWEET HOME,OR,97386,Y,3657500,9.0,159
913,1002758,MILTONVALE,KS,67466,Y,3418500,6.45,2250
307,1010343,ALADDIN,WY,82710,Y,1212500,0.0,0
785,1002861,OVERLAND PARK,KS,66204,N,2474500,6.45,0
307,1016443,GLENROCK,WY,82637,Y,1342500,0.0,0
208,1000637,CLIFTON,ID,83228,Y,3335500,7.8,3300
602,1000941,SACATON,AZ,85247,N,3303000,5.04,0
605,1013684,WHITEHORSE,SD,57661,Y,4981000,0.0,0
808,1000298,HILO,HI,96720,N,2084000,8.25,0
574,1002665,SHIPSHEWANA,IN,46565,N,4167500,3.4,0
501,1003504,DYESS,AR,72330,Y,747000,7.0,20
803,1000787,MC CORMICK,SC,29899,N,4698500,7.0,0
802,1009699,NORTH CLARENDON,VT,5759,Y,3797500,9.5,3300
301,1002027,BALTIMORE,MD,21285,N,224500,4.75,0
603,1011288,CORNISH,NH,3745,Y,2004000,0.0,0
936,1000536,CARRIZO SPRINGS,TX,78834,N,4187500,0.0,0
651,1001090,WHEATON,MN,56296,N,64000,7.67,0
907,1012401,KODIAK,AK,99697,N,2325500,0.0,0
202,1014226,WASHINGTON,DC,20527,N,905500,9.0,0
704,1001671,BAILEY,NC,27807,N,1794500,8.25,0
401,1014911,LINCOLN,RI,2865,Y,4283500,0.0,0
505,1003634,DATIL,NM,87821,Y,4848000,5.3,3300
913,1001050,ROCK,KS,67131,Y,3598000,6.45,2250
574,1000633,BLOOMINGTON,IN,47403,N,4763500,3.4,0
314,1002830,VALLES MINES,MO,63087,N,2084000,6.0,0
870,1005413,STEPHENS,AR,71764,Y,1543000,7.0,20
406,1015604,MC LEOD,MT,59052,Y,4453000,6.9,1900
808,1004274,HOOLEHUA,HI,96729,N,3214500,8.25,0
773,1001145,MAEYSTOWN,IL,62256,N,4120000,3.0,0
517,1000272,KEARSARGE,MI,49942,Y,14000,3.9,3100
603,1010290,WHITEFIELD,NH,3598,N,3076500,0.0,0
305,1000358,MERRITT ISLAND,FL,32954,Y,2067500,0.0,0
774,1001517,NEWTON,MA,2458,N,1936500,5.3,0
856,1000655,WOODCLIFF LAKE,NJ,7677,N,3885000,8.97,0
801,1002489,SPRINGVILLE,UT,84663,N,3829000,7.0,0
203,1001361,BRANFORD,CT,6405,Y,384000,5.0,0
719,1000355,SEDGWICK,CO,80749,Y,661500,4.63,0
402,1005761,INMAN,NE,68742,N,3072000,6.84,0
860,1007004,BRIDGEPORT,CT,6606,Y,1614500,5.0,0
731,1001182,EIDSON,TN,37731,Y,4037000,0.0,0
305,1000032,KISSIMMEE,FL,34759,Y,3184500,0.0,0
701,1012162,PORTLAND,ND,58274,N,2352000,5.54,0
401,1012129,WARWICK,RI,2887,Y,1650000,0.0,0
608,1001425,WALWORTH,WI,53184,Y,2897500,6.75,400
505,1011716,TEXICO,NM,88135,Y,1665500,5.3,3300
253,1003528,STARBUCK,WA,99359,Y,3879000,0.0,0
859,1000732,CAMPBELLSVILLE,KY,42719,Y,1573500,6.0,20
308,1000012,BARTLEY,NE,69020,Y,4348000,6.84,103
228,1003197,PARIS,MS,38949,Y,3984000,5.0,1500
936,1000297,PFLUGERVILLE,TX,78660,N,3667500,0.0,0
603,1012855,NORTHWOOD,NH,3261,Y,3893000,0.0,0
208,1003282,MERIDIAN,ID,83642,N,3861000,7.8,0
919,1001019,WRIGHTSVILLE BEACH,NC,28480,Y,1653500,8.25,3300
801,1003460,STERLING,UT,84665,N,883000,7.0,0
941,1000776,MURDOCK,FL,33938,N,4646500,0.0,0
801,1000930,AMERICAN FORK,UT,84003,N,3105000,7.0,0
740,1000315,CINCINNATI,OH,45270,N,3642000,7.18,0
410,1003568,PIKESVILLE,MD,21208,N,620500,4.75,0
952,1000685,SAINT PAUL,MN,55117,Y,2414000,7.85,3300
330,1000852,VERSAILLES,OH,45380,N,4228000,7.18,0
713,1000638,HOUSTON,TX,77063,N,1576000,0.0,0
610,1000003,SLATEDALE,PA,18079,Y,2379500,3.07,0
240,1000229,BALTIMORE,MD,21214,Y,269500,4.75,2400
907,1008304,PRUDHOE BAY,AK,99734,N,655000,0.0,0
351,1001980,SAVOY,MA,1256,Y,1087500,5.3,1000
508,1002025,ESSEX,MA,1929,N,1344000,5.3,0
507,1001484,LAKEVILLE,MN,55044,N,1798500,7.85,0
210,1000753,SYLVESTER,TX,79560,Y,1393000,0.0,0
702,1000589,CARSON CITY,NV,89706,Y,4025500,0.0,0
316,1001223,PROTECTION,KS,67127,N,2883000,6.45,0
270,1004557,SOUTH SHORE,KY,41175,N,1712500,6.0,0
712,1000876,PLOVER,IA,50573,N,2671000,8.98,0
715,1003724,PITTSVILLE,WI,54466,N,3743000,6.75,0
918,1000961,HODGEN,OK,74939,Y,4048500,6.25,1000
605,1008457,GROTON,SD,57445,Y,2146500,0.0,0
615,1002023,PINEY FLATS,TN,37686,N,1676500,0.0,0
347,1001087,CENTRAL BRIDGE,NY,12035,Y,4571000,6.85,1000
240,1000274,ANNAPOLIS,MD,21403,Y,1056500,4.75,2400
260,1000237,WABASH,IN,46992,N,4509500,3.4,0
205,1002406,GURLEY,AL,35748,Y,3111000,5.0,300
228,1002795,STONEWALL,MS,39363,N,4419500,5.0,0
406,1009273,KINSEY,MT,59338,N,2443500,6.9,0
713,1000120,BROWNWOOD,TX,76804,N,1565500,0.0,0
848,1000382,MALAGA,NJ,8328,N,352000,6.64,0
860,1006283,STAMFORD,CT,6912,N,1352000,5.0,0
505,1001735,BENT,NM,88314,N,4467500,5.3,0
808,1010188,MILILANI,HI,96789,Y,295000,8.25,1040
202,1000349,WASHINGTON,DC,20390,N,3755000,9.0,0
863,1000494,JACKSONVILLE,FL,32244,Y,1520500,0.0,0
505,1012422,PONDEROSA,NM,87044,N,2758000,5.3,0
262,1000587,MILWAUKEE,WI,53202,Y,2338000,6.75,400
802,1009387,SPRINGFIELD,VT,5156,N,2082500,9.5,0
907,1006726,GRAYLING,AK,99590,Y,419500,0.0,0
207,1017129,ROUND POND,ME,4564,N,979000,8.5,0
804,1000188,WINCHESTER,VA,22602,Y,297500,5.75,900
828,1002709,PAW CREEK,NC,28130,Y,1458500,8.25,3300
616,1001465,BEAVER ISLAND,MI,49782,Y,3147500,3.9,3100
443,1004769,EDEN,MD,21822,N,1909500,4.75,0
401,1008307,CRANSTON,RI,2920,N,2884500,0.0,0
219,1001797,GLENWOOD,IN,46133,N,3575500,3.4,0
620,1002294,LIBERAL,KS,67901,Y,4671500,6.45,2250
908,1001914,ELIZABETH,NJ,7202,Y,3210500,8.97,1500
936,1000676,DEPORT,TX,75435,Y,3207000,0.0,0
973,1000301,EATONTOWN,NJ,7724,N,625500,8.97,0
520,1001590,SCOTTSDALE,AZ,85250,N,3000500,5.04,0
339,1000057,WORCESTER,MA,1608,Y,496500,5.3,1000
563,1000556,MOUNT UNION,IA,52644,Y,721500,8.98,40
205,1004232,LOUISVILLE,AL,36048,Y,4803500,5.0,300
630,1001888,CHERRY VALLEY,IL,61016,N,4509500,3.0,0
443,1001050,SILVER SPRING,MD,20904,Y,1032000,4.75,2400
479,1005274,PARKIN,AR,72373,N,4414500,7.0,0
814,1001410,CAMBRIDGE SPRINGS,PA,16403,N,3128000,3.07,0
201,1000487,TUCKERTON,NJ,8087,N,4488500,8.97,0
816,1001964,ORONOGO,MO,64855,Y,1472500,6.0,1200
609,1000772,FREEHOLD,NJ,7728,Y,1045000,8.97,1500
781,1001837,OXFORD,MA,1540,N,2344500,5.3,0
939,1009259,SAN JUAN,PR,914,N,1082000,0.0,0
208,1003657,ROBERTS,ID,83444,N,2583500,7.8,0
701,1006974,CARSON,ND,58529,N,1935000,5.54,0
864,1003661,ANDERSON,SC,29626,Y,3639500,7.0,3300
410,1000166,MOUNT SAVAGE,MD,21545,N,2020500,4.75,0
860,1003252,MONROE,CT,6468,Y,2911500,5.0,0
301,1001669,BALTIMORE,MD,21297,Y,361500,4.75,2400
719,1004215,LA JUNTA,CO,81050,N,4834500,4.63,0
801,1005053,TABIONA,UT,84072,Y,2527000,7.0,2475
401,1017108,NORTH KINGSTOWN,RI,2854,N,1064000,0.0,0
940,1000267,HOUSTON,TX,77047,Y,1800000,0.0,0
224,1001071,EOLA,IL,60519,Y,3614000,3.0,2000
360,1000562,SOUTHWORTH,WA,98386,N,1319500,0.0,0
561,1000776,REDDICK,FL,32686,N,4931000,0.0,0
808,1002252,MAKAWAO,HI,96768,Y,4402500,8.25,1040
508,1000238,SCITUATE,MA,2066,Y,4320500,5.3,1000
754,1000645,WINTER GARDEN,FL,34778,Y,4116000,0.0,0
785,1001685,GLASCO,KS,67445,Y,1175000,6.45,2250
513,1000945,UTICA,OH,43080,Y,1929500,7.18,1300
636,1000871,FENTON,MO,63099,Y,2935500,6.0,1200
334,1000459,COALING,AL,35449,N,1064500,5.0,0
302,1011042,WINTERTHUR,DE,19735,N,4156000,5.95,0
757,1001716,COLONIAL BEACH,VA,22443,Y,3181000,5.75,900
810,1000338,ROSEVILLE,MI,48066,N,2308000,3.9,0
618,1001751,COFFEEN,IL,62017,Y,1446500,3.0,2000
205,1003586,BIRMINGHAM,AL,35283,Y,1825000,5.0,300
406,1000394,COFFEE CREEK,MT,59424,N,1768500,6.9,0
507,1001646,ORONOCO,MN,55960,Y,2420000,7.85,3300
602,1002987,QUARTZSITE,AZ,85359,N,931000,5.04,0
505,1007348,SEDAN,NM,88436,Y,804500,5.3,3300
769,1002155,CLINTON,MS,39060,Y,1126000,5.0,1500
307,1002550,CHEYENNE,WY,82010,N,4459000,0.0,0
406,1009997,BILLINGS,MT,59107,Y,1747500,6.9,1900
307,1001047,ROCK SPRINGS,WY,82902,Y,360500,0.0,0
901,1002163,MEMPHIS,TN,38141,Y,3004500,0.0,0
234,1001761,TOLEDO,OH,43603,N,2104000,7.18,0
225,1003392,ASHLAND,LA,71002,Y,291500,6.0,1000
304,1005804,IDAMAY,WV,26576,N,1445500,6.5,0
787,1006159,AGUIRRE,PR,704,Y,4820500,0.0,0
202,1017242,WASHINGTON,DC,20081,Y,867000,9.0,1370
505,1008420,ALBUQUERQUE,NM,87199,N,2525500,5.3,0
763,1002551,ADAMS,MN,55909,Y,4577000,7.85,3300
907,1004699,SITKA,AK,99835,N,1034000,0.0,0
702,1001018,LAS VEGAS,NV,89115,N,3150500,0.0,0
503,1002743,ASHWOOD,OR,97711,Y,4405500,9.0,159
785,1000273,WESTMORELAND,KS,66549,N,2887500,6.45,0
503,1005885,PORTLAND,OR,97272,N,3379000,9.0,0
559,1000300,LAGUNA BEACH,CA,92651,N,1133500,9.3,0
405,1000561,OKLAHOMA CITY,OK,73130,N,4596000,6.25,0
205,1003225,BIRMINGHAM,AL,35243,N,1613500,5.0,0
808,1009196,LAIE,HI,96762,N,3607000,8.25,0
406,1000477,GERALDINE,MT,59446,Y,1878500,6.9,1900
603,1016876,STINSON LAKE,NH,3274,Y,3221500,0.0,0
302,1005234,OCEAN VIEW,DE,19970,Y,3938000,5.95,110
917,1000776,SYRACUSE,NY,13217,N,1155000,6.85,0
605,1010363,OLIVET,SD,57052,N,2171500,0.0,0
505,1017145,PEP,NM,88126,N,1509000,5.3,0
808,1003947,HONOLULU,HI,96801,Y,349500,8.25,1040
503,1002359,WESTON,OR,97886,Y,3780000,9.0,159
605,1007742,LOWER BRULE,SD,57548,Y,1761000,0.0,0
205,1004878,VINCENT,AL,35178,Y,1356000,5.0,300
505,1004733,SANOSTEE,NM,87461,N,520500,5.3,0
662,1002836,PICAYUNE,MS,39466,Y,4934500,5.0,1500
512,1000055,SAN ANTONIO,TX,78223,Y,181000,0.0,0
315,1001257,RUSHVILLE,NY,14544,Y,4550500,6.85,1000
801,1007289,RICHMOND,UT,84333,Y,3371500,7.0,2475
307,1013259,DANIEL,WY,83115,N,3078000,0.0,0
248,1000735,JACKSON,MI,49202,N,1639000,3.9,0
716,1000902,BRAINARD,NY,12024,Y,35000,4.16,1000
719,1000815,BOULDER,CO,80310,N,4591500,4.63,0
202,1011101,WASHINGTON,DC,20540,N,1403000,9.0,0
319,1003269,MITCHELLVILLE,IA,50169,N,4136500,8.98,0
316,1001314,FORMOSO,KS,66942,N,4141000,6.45,0
860,1009680,COLCHESTER,CT,6415,N,4772500,5.0,0
787,1006436,UTUADO,PR,641,N,2528500,0.0,0
401,1000151,ADAMSVILLE,RI,2801,Y,1301500,0.0,0
417,1002610,SAINT LOUIS,MO,63158,Y,2567000,6.0,1200
937,1000170,NORTH BALTIMORE,OH,45872,Y,1891500,7.18,1300
707,1000008,ANTELOPE,CA,95843,Y,624500,9.3,272
405,1000433,WAYNOKA,OK,73860,Y,947000,6.25,1000
401,1002512,RUMFORD,RI,2916,N,4265500,0.0,0
804,1002601,LUNENBURG,VA,23952,Y,1090500,5.75,900
303,1003872,COLORADO SPRINGS,CO,80938,N,2568000,4.63,0
307,1002814,LONETREE,WY,82936,N,1157000,0.0,0
417,1001723,IBERIA,MO,65486,Y,1331500,6.0,1200
603,1007885,BARTLETT,NH,3812,N,332500,0.0,0
239,1000411,MIAMI,FL,33161,Y,2269500,0.0,0
252,1002249,BURGAW,NC,28425,N,4712000,8.25,0
605,1005551,BERESFORD,SD,57004,Y,4849500,0.0,0
540,1001570,HERNDON,VA,22092,N,2685500,5.75,0
907,1000174,KETCHIKAN,AK,99901,Y,1741500,0.0,0
503,1001129,WILBUR,OR,97494,N,1766500,9.0,0
240,1000824,CHESTER,MD,21619,Y,981000,4.75,2400
763,1002468,YOUNG AMERICA,MN,55399,N,1456000,7.85,0
207,1015824,WASHBURN,ME,4786,Y,3605000,8.5,2850
904,1000740,HOMOSASSA,FL,34446,N,4913000,0.0,0
928,1001817,MESA,AZ,85215,Y,2750000,5.04,2300
501,1001029,HACKETT,AR,72937,N,1658500,7.0,0
978,1000728,NORTH EGREMONT,MA,1252,Y,223000,5.3,1000
754,1000966,JACKSONVILLE,FL,32211,N,214500,0.0,0
435,1009328,SALT LAKE CITY,UT,84139,N,2395000,7.0,0
859,1002288,REVELO,KY,42638,N,4578000,6.0,0
843,1000005,ORANGEBURG,SC,29117,N,298500,7.0,0
605,1018293,WAUBAY,SD,57273,N,1862500,0.0,0
603,1003863,SUNCOOK,NH,3275,Y,305000,0.0,0
574,1002810,SANTA CLAUS,IN,47579,N,4424500,3.4,0
947,1000513,FREMONT,MI,49412,N,1604500,3.9,0
816,1001811,BROWNING,MO,64630,N,2221500,6.0,0
202,1013380,WASHINGTON,DC,20444,Y,4956500,9.0,1370
202,1009925,WASHINGTON,DC,20009,N,3568500,9.0,0
301,1004333,BALTIMORE,MD,21263,N,2407000,4.75,0
939,1001814,MERCEDITA,PR,715,Y,3493500,0.0,0
304,1018998,SANDSTONE,WV,25985,Y,3194000,6.5,2000
406,1009104,MILES CITY,MT,59301,N,2949000,6.9,0
406,1009852,CLANCY,MT,59634,N,1916000,6.9,0
317,1002554,NORTH MANCHESTER,IN,46962,N,4598500,3.4,0
318,1002337,SHREVEPORT,LA,71151,N,3377000,6.0,0
540,1001221,WARRENTON,VA,20188,Y,835500,5.75,900
702,1005768,LAS VEGAS,NV,89108,Y,4499500,0.0,0
425,1001930,PUYALLUP,WA,98372,Y,1980500,0.0,0
205,1002768,FOLEY,AL,36535,N,4540500,5.0,0
857,1000113,EAST WAREHAM,MA,2538,N,527000,5.3,0
701,1012570,GARRISON,ND,58540,Y,3519000,5.54,3300
586,1000423,CAMDEN,MI,49232,Y,1369500,3.9,3100
304,1003437,GREENVILLE,WV,24945,Y,2328500,6.5,2000
740,1000074,VENEDOCIA,OH,45894,N,1608500,7.18,0
605,1016994,SIOUX FALLS,SD,57109,N,311500,0.0,0
919,1002536,OAK RIDGE,NC,27310,N,2238500,8.25,0
316,1002568,NEWTON,KS,67114,N,4619500,6.45,0
713,1000531,COLLEYVILLE,TX,76034,N,434000,0.0,0
202,1017253,WASHINGTON,DC,20250,Y,4738000,9.0,1370
202,1018053,WASHINGTON,DC,20340,N,101000,9.0,0
505,1014561,LUNA,NM,87824,N,4157500,5.3,0
516,1000873,BLOOMING GROVE,NY,10914,N,1802000,6.85,0
605,1016364,EUREKA,SD,57437,N,3829500,0.0,0
802,1010267,READSBORO,VT,5350,N,1497500,9.5,0
917,1000403,MAYFIELD,NY,12117,N,2365000,6.85,0
207,1017449,WASHBURN,ME,4786,Y,130500,8.5,2850
401,1008540,SMITHFIELD,RI,2917,N,1220000,0.0,0
484,1000128,ERIE,PA,16514,Y,4746000,3.07,0
412,1000552,WEST SUNBURY,PA,16061,N,4484000,3.07,0
505,1017914,SANTA FE,NM,87504,N,3126000,5.3,0
203,1001953,STAMFORD,CT,6913,N,1294500,5.0,0
314,1000010,INDEPENDENCE,MO,64055,Y,3980500,6.0,1200
